timestamp,neighbor_id,rssi,energy_consumption
1,211,-84,240.938
1,57,-89,240.938
1,139,-81,240.938
2,211,-84,241.406
2,57,-89,241.406
2,139,-81,241.406
3,211,-84,241.875
3,57,-89,241.875
3,139,-81,241.875
4,211,-84,241.406
4,57,-89,241.406
4,139,-81,241.406
5,211,-84,240.938
5,57,-89,240.938
5,139,-81,240.938
6,211,-84,240.938
6,57,-89,240.938
6,139,-81,240.938
7,211,-84,241.406
7,57,-89,241.406
7,139,-81,241.406
8,211,-84,241.875
8,57,-89,241.875
8,139,-81,241.875
9,211,-84,241.406
9,57,-89,241.406
9,139,-81,241.406
10,211,-84,240.938
10,57,-89,240.938
10,139,-81,240.938
11,211,-84,240.938
11,57,-89,240.938
11,139,-81,240.938
12,211,-84,241.406
12,57,-89,241.406
12,139,-81,241.406
13,211,-84,241.875
13,57,-89,241.875
13,139,-81,241.875
14,211,-84,241.406
14,57,-89,241.406
14,139,-81,241.406
15,211,-84,240.938
15,57,-89,240.938
15,139,-81,240.938
16,211,-84,241.406
16,57,-89,241.406
16,139,-81,241.406
17,211,-84,241.875
17,57,-89,241.875
17,139,-81,241.875
18,211,-84,241.875
18,57,-89,241.875
18,139,-81,241.875
19,211,-84,241.406
19,57,-89,241.406
19,139,-81,241.406
20,211,-84,240.938
20,57,-89,240.938
20,139,-81,240.938
21,211,-84,241.406
21,57,-89,241.406
21,139,-81,241.406
22,211,-84,241.875
22,57,-89,241.875
22,139,-81,241.875
23,211,-84,241.406
23,57,-89,241.406
23,139,-81,241.406
24,211,-84,240.938
24,57,-89,240.938
24,139,-81,240.938
25,211,-84,240.938
25,57,-89,240.938
25,139,-81,240.938
26,211,-84,241.406
26,57,-89,241.406
26,139,-81,241.406
27,211,-84,241.875
27,57,-89,241.875
27,139,-81,241.875
28,211,-84,241.875
28,57,-89,241.875
28,139,-81,241.875
29,211,-84,240.938
29,57,-89,240.938
29,139,-81,240.938
30,211,-84,240.938
30,57,-89,240.938
30,139,-81,240.938
31,211,-84,241.406
31,57,-89,241.406
31,139,-81,241.406
32,211,-84,241.875
32,57,-89,241.875
32,139,-81,241.875
33,211,-84,241.875
33,57,-89,241.875
33,139,-81,241.875
34,211,-84,241.406
34,57,-89,241.406
34,139,-81,241.406
35,211,-84,240.938
35,57,-89,240.938
35,139,-81,240.938
36,211,-84,240.938
36,57,-89,240.938
36,139,-81,240.938
37,211,-84,241.875
37,57,-89,241.875
37,139,-81,241.875
38,211,-84,241.875
38,57,-89,241.875
38,139,-81,241.875
39,211,-84,241.406
39,57,-89,241.406
39,139,-81,241.406
40,211,-84,240.938
40,57,-89,240.938
40,139,-81,240.938
41,211,-84,241.406
41,57,-89,241.406
41,139,-81,241.406
42,211,-84,241.406
42,57,-89,241.406
42,139,-81,241.406
43,211,-84,241.875
43,57,-89,241.875
43,139,-81,241.875
