timestamp,neighbor_id,rssi,energy_consumption
1,74,-73,244.219
1,138,-62,244.219
1,139,-78,244.219
1,69,-82,244.219
1,211,-74,244.219
1,103,-94,244.219
1,212,-65,244.219
1,57,-83,244.219
2,74,-73,243.75
2,138,-62,243.75
2,139,-78,243.75
2,69,-82,243.75
2,211,-74,243.75
2,103,-94,243.75
2,212,-65,243.75
2,57,-83,243.75
3,74,-73,244.219
3,138,-62,244.219
3,139,-78,244.219
3,69,-82,244.219
3,211,-74,244.219
3,103,-94,244.219
3,212,-65,244.219
3,57,-83,244.219
4,74,-73,243.75
4,138,-62,243.75
4,139,-78,243.75
4,69,-82,243.75
4,211,-74,243.75
4,103,-94,243.75
4,212,-65,243.75
4,57,-83,243.75
5,74,-72,244.219
5,138,-62,244.219
5,139,-78,244.219
5,69,-82,244.219
5,211,-74,244.219
5,103,-94,244.219
5,212,-65,244.219
5,57,-83,244.219
6,74,-72,244.219
6,138,-62,244.219
6,139,-78,244.219
6,69,-82,244.219
6,211,-74,244.219
6,103,-94,244.219
6,212,-65,244.219
6,57,-83,244.219
7,74,-72,243.75
7,138,-62,243.75
7,139,-78,243.75
7,69,-82,243.75
7,211,-74,243.75
7,103,-94,243.75
7,212,-65,243.75
7,57,-83,243.75
8,74,-72,244.219
8,138,-62,244.219
8,139,-78,244.219
8,69,-82,244.219
8,211,-74,244.219
8,103,-94,244.219
8,212,-65,244.219
8,57,-83,244.219
9,74,-72,243.75
9,138,-62,243.75
9,139,-78,243.75
9,69,-82,243.75
9,211,-74,243.75
9,103,-94,243.75
9,212,-65,243.75
9,57,-83,243.75
10,74,-72,244.219
10,138,-62,244.219
10,139,-78,244.219
10,69,-82,244.219
10,211,-74,244.219
10,103,-94,244.219
10,212,-65,244.219
10,57,-83,244.219
11,74,-72,244.219
11,138,-62,244.219
11,139,-78,244.219
11,69,-82,244.219
11,211,-74,244.219
11,103,-94,244.219
11,212,-65,244.219
11,57,-83,244.219
12,74,-72,244.688
12,138,-62,244.688
12,139,-78,244.688
12,69,-82,244.688
12,211,-74,244.688
12,103,-94,244.688
12,212,-64,244.688
12,57,-83,244.688
13,74,-72,244.219
13,138,-62,244.219
13,139,-78,244.219
13,69,-82,244.219
13,211,-74,244.219
13,103,-94,244.219
13,212,-64,244.219
13,57,-83,244.219
14,74,-72,244.688
14,138,-62,244.688
14,139,-78,244.688
14,69,-82,244.688
14,211,-74,244.688
14,103,-94,244.688
14,212,-64,244.688
14,57,-83,244.688
15,74,-72,244.688
15,138,-62,244.688
15,139,-78,244.688
15,69,-82,244.688
15,211,-74,244.688
15,103,-94,244.688
15,212,-64,244.688
15,57,-83,244.688
16,74,-72,244.688
16,138,-62,244.688
16,139,-78,244.688
16,69,-82,244.688
16,211,-74,244.688
16,103,-94,244.688
16,212,-64,244.688
16,57,-83,244.688
17,74,-72,244.219
17,138,-62,244.219
17,139,-78,244.219
17,69,-81,244.219
17,211,-74,244.219
17,103,-94,244.219
17,212,-64,244.219
17,57,-83,244.219
18,74,-71,244.688
18,138,-62,244.688
18,139,-78,244.688
18,69,-81,244.688
18,211,-74,244.688
18,103,-94,244.688
18,212,-64,244.688
18,57,-83,244.688
19,74,-71,244.219
19,138,-62,244.219
19,139,-78,244.219
19,69,-81,244.219
19,211,-74,244.219
19,103,-94,244.219
19,212,-64,244.219
19,57,-83,244.219
20,74,-70,244.688
20,138,-62,244.688
20,139,-78,244.688
20,69,-81,244.688
20,211,-74,244.688
20,103,-94,244.688
20,212,-64,244.688
20,57,-83,244.688
21,74,-70,244.219
21,138,-62,244.219
21,139,-78,244.219
21,69,-81,244.219
21,211,-74,244.219
21,103,-94,244.219
21,212,-64,244.219
21,57,-83,244.219
22,74,-70,244.688
22,138,-62,244.688
22,139,-78,244.688
22,69,-81,244.688
22,211,-74,244.688
22,103,-94,244.688
22,212,-64,244.688
22,57,-83,244.688
23,74,-70,244.688
23,138,-62,244.688
23,139,-78,244.688
23,69,-81,244.688
23,211,-74,244.688
23,103,-94,244.688
23,212,-64,244.688
23,57,-83,244.688
24,74,-70,244.688
24,138,-62,244.688
24,139,-78,244.688
24,69,-81,244.688
24,211,-74,244.688
24,103,-94,244.688
24,212,-64,244.688
24,57,-83,244.688
25,74,-70,244.219
25,138,-62,244.219
25,139,-78,244.219
25,69,-81,244.219
25,211,-74,244.219
25,103,-94,244.219
25,212,-64,244.219
25,57,-83,244.219
26,74,-70,244.219
26,138,-62,244.219
26,139,-78,244.219
26,69,-81,244.219
26,211,-74,244.219
26,103,-94,244.219
26,212,-64,244.219
26,57,-83,244.219
27,74,-70,244.688
27,138,-62,244.688
27,139,-77,244.688
27,69,-81,244.688
27,211,-74,244.688
27,103,-94,244.688
27,212,-64,244.688
27,57,-83,244.688
28,74,-70,244.219
28,138,-62,244.219
28,139,-77,244.219
28,69,-81,244.219
28,211,-74,244.219
28,103,-94,244.219
28,212,-64,244.219
28,57,-83,244.219
29,74,-70,243.75
29,138,-62,243.75
29,139,-77,243.75
29,69,-81,243.75
29,211,-74,243.75
29,103,-94,243.75
29,212,-64,243.75
29,57,-83,243.75
30,74,-70,244.219
30,138,-62,244.219
30,139,-77,244.219
30,69,-81,244.219
30,211,-74,244.219
30,103,-94,244.219
30,212,-64,244.219
30,57,-83,244.219
31,74,-70,243.75
31,138,-62,243.75
31,139,-77,243.75
31,69,-81,243.75
31,211,-74,243.75
31,103,-94,243.75
31,212,-64,243.75
31,57,-83,243.75
32,74,-70,243.75
32,138,-62,243.75
32,139,-77,243.75
32,69,-81,243.75
32,211,-74,243.75
32,103,-94,243.75
32,212,-64,243.75
32,57,-83,243.75
33,74,-70,243.75
33,138,-62,243.75
33,139,-77,243.75
33,69,-81,243.75
33,211,-74,243.75
33,103,-94,243.75
33,212,-64,243.75
33,57,-83,243.75
34,74,-70,243.75
34,138,-62,243.75
34,139,-77,243.75
34,69,-81,243.75
34,211,-74,243.75
34,103,-94,243.75
34,212,-64,243.75
34,57,-83,243.75
35,74,-70,243.75
35,138,-62,243.75
35,139,-76,243.75
35,69,-81,243.75
35,211,-74,243.75
35,103,-94,243.75
35,212,-64,243.75
35,57,-83,243.75
36,74,-70,243.75
36,138,-62,243.75
36,139,-76,243.75
36,69,-81,243.75
36,211,-74,243.75
36,103,-94,243.75
36,212,-64,243.75
36,57,-83,243.75
37,74,-69,243.75
37,138,-62,243.75
37,139,-76,243.75
37,69,-81,243.75
37,211,-74,243.75
37,103,-94,243.75
37,212,-64,243.75
37,57,-83,243.75
38,74,-69,243.75
38,138,-62,243.75
38,139,-76,243.75
38,69,-81,243.75
38,211,-74,243.75
38,103,-94,243.75
38,212,-64,243.75
38,57,-83,243.75
39,74,-69,243.75
39,138,-62,243.75
39,139,-76,243.75
39,69,-81,243.75
39,211,-74,243.75
39,103,-94,243.75
39,212,-64,243.75
39,57,-83,243.75
40,74,-69,243.75
40,138,-62,243.75
40,139,-76,243.75
40,69,-81,243.75
40,211,-74,243.75
40,103,-94,243.75
40,212,-64,243.75
40,57,-83,243.75
41,74,-69,243.75
41,138,-62,243.75
41,139,-76,243.75
41,69,-81,243.75
41,211,-74,243.75
41,103,-94,243.75
41,212,-64,243.75
41,57,-83,243.75
42,74,-69,243.75
42,138,-62,243.75
42,139,-76,243.75
42,69,-81,243.75
42,211,-74,243.75
42,103,-94,243.75
42,212,-64,243.75
42,57,-83,243.75
43,74,-69,243.75
43,138,-62,243.75
43,139,-76,243.75
43,69,-81,243.75
43,211,-74,243.75
43,103,-94,243.75
43,212,-64,243.75
43,57,-83,243.75
44,74,-69,243.75
44,138,-62,243.75
44,139,-76,243.75
44,69,-81,243.75
44,211,-74,243.75
44,103,-94,243.75
44,212,-64,243.75
44,57,-83,243.75
45,74,-69,243.75
45,138,-62,243.75
45,139,-76,243.75
45,69,-81,243.75
45,211,-74,243.75
45,103,-94,243.75
45,212,-64,243.75
45,57,-83,243.75
46,74,-69,243.75
46,138,-62,243.75
46,139,-76,243.75
46,69,-81,243.75
46,211,-74,243.75
46,103,-94,243.75
46,212,-64,243.75
46,57,-83,243.75
47,74,-69,244.219
47,138,-62,244.219
47,139,-76,244.219
47,69,-81,244.219
47,211,-74,244.219
47,103,-94,244.219
47,212,-64,244.219
47,57,-83,244.219
48,74,-69,243.75
48,138,-62,243.75
48,139,-76,243.75
48,69,-81,243.75
48,211,-74,243.75
48,103,-94,243.75
48,212,-64,243.75
48,57,-83,243.75
49,74,-69,244.219
49,138,-62,244.219
49,139,-76,244.219
49,69,-81,244.219
49,211,-74,244.219
49,103,-94,244.219
49,212,-64,244.219
49,57,-83,244.219
50,74,-69,243.75
50,138,-62,243.75
50,139,-76,243.75
50,69,-81,243.75
50,211,-74,243.75
50,103,-94,243.75
50,212,-64,243.75
50,57,-83,243.75
51,74,-69,244.688
51,138,-62,244.688
51,139,-76,244.688
51,69,-81,244.688
51,211,-74,244.688
51,103,-94,244.688
51,212,-64,244.688
51,57,-83,244.688
52,74,-69,244.219
52,138,-62,244.219
52,139,-76,244.219
52,69,-81,244.219
52,211,-74,244.219
52,103,-94,244.219
52,212,-64,244.219
52,57,-83,244.219
53,74,-69,244.219
53,138,-62,244.219
53,139,-76,244.219
53,69,-81,244.219
53,211,-74,244.219
53,103,-94,244.219
53,212,-64,244.219
53,57,-83,244.219
54,74,-69,244.688
54,138,-62,244.688
54,139,-76,244.688
54,69,-81,244.688
54,211,-74,244.688
54,103,-94,244.688
54,212,-64,244.688
54,57,-83,244.688
55,74,-69,244.219
55,138,-62,244.219
55,139,-76,244.219
55,69,-81,244.219
55,211,-74,244.219
55,103,-94,244.219
55,212,-64,244.219
55,57,-83,244.219
56,74,-69,244.688
56,138,-62,244.688
56,139,-76,244.688
56,69,-81,244.688
56,211,-74,244.688
56,103,-94,244.688
56,212,-64,244.688
56,57,-83,244.688
57,74,-69,244.688
57,138,-62,244.688
57,139,-76,244.688
57,69,-81,244.688
57,211,-74,244.688
57,103,-94,244.688
57,212,-64,244.688
57,57,-83,244.688
58,74,-69,244.219
58,138,-62,244.219
58,139,-76,244.219
58,69,-81,244.219
58,211,-74,244.219
58,103,-94,244.219
58,212,-64,244.219
58,57,-83,244.219
59,74,-69,244.688
59,138,-62,244.688
59,139,-76,244.688
59,69,-81,244.688
59,211,-74,244.688
59,103,-94,244.688
59,212,-64,244.688
59,57,-83,244.688
60,74,-69,244.688
60,138,-62,244.688
60,139,-76,244.688
60,69,-81,244.688
60,211,-74,244.688
60,103,-94,244.688
60,212,-64,244.688
60,57,-83,244.688
61,74,-69,244.219
61,138,-62,244.219
61,139,-76,244.219
61,69,-81,244.219
61,211,-74,244.219
61,103,-94,244.219
61,212,-64,244.219
61,57,-83,244.219
62,74,-69,244.219
62,138,-62,244.219
62,139,-76,244.219
62,69,-81,244.219
62,211,-74,244.219
62,103,-94,244.219
62,212,-64,244.219
62,57,-83,244.219
63,74,-69,244.688
63,138,-62,244.688
63,139,-76,244.688
63,69,-81,244.688
63,211,-74,244.688
63,103,-94,244.688
63,212,-64,244.688
63,57,-83,244.688
64,74,-69,244.688
64,138,-62,244.688
64,139,-76,244.688
64,69,-81,244.688
64,211,-74,244.688
64,103,-94,244.688
64,212,-64,244.688
64,57,-83,244.688
65,74,-69,244.219
65,138,-62,244.219
65,139,-76,244.219
65,69,-81,244.219
65,211,-74,244.219
65,103,-94,244.219
65,212,-64,244.219
65,57,-83,244.219
66,74,-69,243.75
66,138,-62,243.75
66,139,-76,243.75
66,69,-81,243.75
66,211,-74,243.75
66,103,-94,243.75
66,212,-64,243.75
66,57,-83,243.75
67,74,-69,244.688
67,138,-62,244.688
67,139,-76,244.688
67,69,-81,244.688
67,211,-74,244.688
67,103,-94,244.688
67,212,-64,244.688
67,57,-83,244.688
68,74,-69,244.219
68,138,-62,244.219
68,139,-76,244.219
68,69,-81,244.219
68,211,-74,244.219
68,103,-94,244.219
68,212,-64,244.219
68,57,-83,244.219
69,74,-69,244.219
69,138,-62,244.219
69,139,-76,244.219
69,69,-81,244.219
69,211,-74,244.219
69,103,-94,244.219
69,212,-64,244.219
69,57,-83,244.219
70,74,-69,244.219
70,138,-62,244.219
70,139,-76,244.219
70,69,-81,244.219
70,211,-74,244.219
70,103,-94,244.219
70,212,-64,244.219
70,57,-83,244.219
71,74,-69,243.75
71,138,-62,243.75
71,139,-76,243.75
71,69,-81,243.75
71,211,-74,243.75
71,103,-94,243.75
71,212,-64,243.75
71,57,-83,243.75
72,74,-69,243.75
72,138,-62,243.75
72,139,-76,243.75
72,69,-81,243.75
72,211,-74,243.75
72,103,-94,243.75
72,212,-64,243.75
72,57,-83,243.75
73,74,-69,243.75
73,138,-62,243.75
73,139,-76,243.75
73,69,-81,243.75
73,211,-74,243.75
73,103,-94,243.75
73,212,-64,243.75
73,57,-83,243.75
74,74,-69,244.219
74,138,-62,244.219
74,139,-76,244.219
74,69,-81,244.219
74,211,-74,244.219
74,103,-94,244.219
74,212,-64,244.219
74,57,-83,244.219
75,74,-69,243.75
75,138,-62,243.75
75,139,-76,243.75
75,69,-81,243.75
75,211,-74,243.75
75,103,-94,243.75
75,212,-64,243.75
75,57,-83,243.75
76,74,-69,243.75
76,138,-62,243.75
76,139,-76,243.75
76,69,-81,243.75
76,211,-74,243.75
76,103,-94,243.75
76,212,-64,243.75
76,57,-83,243.75
77,74,-69,243.75
77,138,-62,243.75
77,139,-76,243.75
77,69,-81,243.75
77,211,-74,243.75
77,103,-94,243.75
77,212,-64,243.75
77,57,-83,243.75
78,74,-69,243.75
78,138,-62,243.75
78,139,-76,243.75
78,69,-81,243.75
78,211,-74,243.75
78,103,-94,243.75
78,212,-64,243.75
78,57,-83,243.75
79,74,-69,243.75
79,138,-62,243.75
79,139,-76,243.75
79,69,-81,243.75
79,211,-74,243.75
79,103,-94,243.75
79,212,-64,243.75
79,57,-83,243.75
80,74,-69,243.75
80,138,-62,243.75
80,139,-76,243.75
80,69,-81,243.75
80,211,-74,243.75
80,103,-94,243.75
80,212,-64,243.75
80,57,-83,243.75
81,74,-69,243.75
81,138,-62,243.75
81,139,-76,243.75
81,69,-81,243.75
81,211,-74,243.75
81,103,-94,243.75
81,212,-64,243.75
81,57,-83,243.75
82,74,-69,243.75
82,138,-62,243.75
82,139,-76,243.75
82,69,-81,243.75
82,211,-74,243.75
82,103,-94,243.75
82,212,-64,243.75
82,57,-83,243.75
83,74,-69,243.75
83,138,-62,243.75
83,139,-76,243.75
83,69,-81,243.75
83,211,-74,243.75
83,103,-94,243.75
83,212,-64,243.75
83,57,-83,243.75
84,74,-69,243.75
84,138,-62,243.75
84,139,-76,243.75
84,69,-81,243.75
84,211,-74,243.75
84,103,-94,243.75
84,212,-64,243.75
84,57,-83,243.75
85,74,-69,244.219
85,138,-62,244.219
85,139,-76,244.219
85,69,-81,244.219
85,211,-74,244.219
85,103,-94,244.219
85,212,-64,244.219
85,57,-83,244.219
86,74,-69,243.75
86,138,-62,243.75
86,139,-76,243.75
86,69,-81,243.75
86,211,-74,243.75
86,103,-94,243.75
86,212,-64,243.75
86,57,-83,243.75
87,74,-69,244.219
87,138,-62,244.219
87,139,-76,244.219
87,69,-81,244.219
87,211,-74,244.219
87,103,-94,244.219
87,212,-64,244.219
87,57,-83,244.219
88,74,-69,244.219
88,138,-62,244.219
88,139,-76,244.219
88,69,-81,244.219
88,211,-74,244.219
88,103,-94,244.219
88,212,-64,244.219
88,57,-83,244.219
89,74,-69,243.75
89,138,-62,243.75
89,139,-76,243.75
89,69,-81,243.75
89,211,-74,243.75
89,103,-94,243.75
89,212,-64,243.75
89,57,-83,243.75
90,74,-69,244.688
90,138,-62,244.688
90,139,-76,244.688
90,69,-81,244.688
90,211,-74,244.688
90,103,-94,244.688
90,212,-64,244.688
90,57,-83,244.688
91,74,-69,244.219
91,138,-62,244.219
91,139,-76,244.219
91,69,-81,244.219
91,211,-74,244.219
91,103,-94,244.219
91,212,-64,244.219
91,57,-83,244.219
92,74,-69,244.688
92,138,-62,244.688
92,139,-76,244.688
92,69,-81,244.688
92,211,-74,244.688
92,103,-94,244.688
92,212,-64,244.688
92,57,-83,244.688
93,74,-69,244.219
93,138,-62,244.219
93,139,-76,244.219
93,69,-81,244.219
93,211,-74,244.219
93,103,-94,244.219
93,212,-64,244.219
93,57,-83,244.219
94,74,-69,244.688
94,138,-62,244.688
94,139,-76,244.688
94,69,-81,244.688
94,211,-74,244.688
94,103,-94,244.688
94,212,-64,244.688
94,57,-83,244.688
95,74,-69,244.688
95,138,-62,244.688
95,139,-76,244.688
95,69,-81,244.688
95,211,-74,244.688
95,103,-94,244.688
95,212,-64,244.688
95,57,-83,244.688
96,74,-69,244.219
96,138,-62,244.219
96,139,-76,244.219
96,69,-81,244.219
96,211,-74,244.219
96,103,-94,244.219
96,212,-64,244.219
96,57,-83,244.219
97,74,-69,244.688
97,138,-62,244.688
97,139,-76,244.688
97,69,-81,244.688
97,211,-74,244.688
97,103,-94,244.688
97,212,-64,244.688
97,57,-83,244.688
98,74,-69,244.688
98,138,-62,244.688
98,139,-76,244.688
98,69,-81,244.688
98,211,-74,244.688
98,103,-94,244.688
98,212,-64,244.688
98,57,-83,244.688
99,74,-69,244.688
99,138,-62,244.688
99,139,-76,244.688
99,69,-81,244.688
99,211,-74,244.688
99,103,-94,244.688
99,212,-64,244.688
99,57,-83,244.688
100,74,-69,244.219
100,138,-62,244.219
100,139,-76,244.219
100,69,-81,244.219
100,211,-74,244.219
100,103,-94,244.219
100,212,-64,244.219
100,57,-83,244.219
101,74,-69,244.688
101,138,-62,244.688
101,139,-76,244.688
101,69,-81,244.688
101,211,-74,244.688
101,103,-94,244.688
101,212,-64,244.688
101,57,-83,244.688
102,74,-69,244.688
102,138,-62,244.688
102,139,-76,244.688
102,69,-81,244.688
102,211,-74,244.688
102,103,-94,244.688
102,212,-64,244.688
102,57,-83,244.688
103,74,-69,244.219
103,138,-62,244.219
103,139,-76,244.219
103,69,-81,244.219
103,211,-74,244.219
103,103,-94,244.219
103,212,-64,244.219
103,57,-83,244.219
104,74,-69,244.219
104,138,-62,244.219
104,139,-76,244.219
104,69,-81,244.219
104,211,-74,244.219
104,103,-94,244.219
104,212,-64,244.219
104,57,-83,244.219
105,74,-69,243.75
105,138,-62,243.75
105,139,-76,243.75
105,69,-81,243.75
105,211,-74,243.75
105,103,-94,243.75
105,212,-64,243.75
105,57,-83,243.75
106,74,-69,243.75
106,138,-62,243.75
106,139,-76,243.75
106,69,-81,243.75
106,211,-74,243.75
106,103,-94,243.75
106,212,-64,243.75
106,57,-83,243.75
107,74,-69,244.219
107,138,-62,244.219
107,139,-76,244.219
107,69,-81,244.219
107,211,-74,244.219
107,103,-94,244.219
107,212,-64,244.219
107,57,-83,244.219
108,74,-69,243.75
108,138,-62,243.75
108,139,-76,243.75
108,69,-81,243.75
108,211,-74,243.75
108,103,-94,243.75
108,212,-64,243.75
108,57,-83,243.75
109,74,-69,243.75
109,138,-62,243.75
109,139,-76,243.75
109,69,-81,243.75
109,211,-74,243.75
109,103,-94,243.75
109,212,-64,243.75
109,57,-83,243.75
110,74,-69,243.75
110,138,-62,243.75
110,139,-76,243.75
110,69,-81,243.75
110,211,-74,243.75
110,103,-94,243.75
110,212,-64,243.75
110,57,-83,243.75
111,74,-69,243.75
111,138,-62,243.75
