timestamp,neighbor_id,rssi,energy_consumption
1,139,-88,235.312
1,57,-71,235.312
1,42,-94,235.312
1,211,-86,235.312
1,212,-83,235.312
1,74,-98,235.312
2,139,-88,235.312
2,57,-71,235.312
2,42,-94,235.312
2,211,-86,235.312
2,212,-83,235.312
2,74,-98,235.312
3,139,-88,235.312
3,57,-71,235.312
3,42,-94,235.312
3,211,-86,235.312
3,212,-83,235.312
3,74,-98,235.312
4,139,-88,235.781
4,57,-71,235.781
4,42,-94,235.781
4,211,-86,235.781
4,212,-83,235.781
4,74,-98,235.781
5,139,-88,235.312
5,57,-71,235.312
5,42,-94,235.312
5,211,-86,235.312
5,212,-83,235.312
5,74,-98,235.312
6,139,-88,235.312
6,57,-71,235.312
6,42,-94,235.312
6,211,-86,235.312
6,212,-83,235.312
6,74,-98,235.312
7,139,-88,236.25
7,57,-71,236.25
7,42,-94,236.25
7,211,-86,236.25
7,212,-83,236.25
7,74,-98,236.25
8,139,-88,235.781
8,57,-71,235.781
8,42,-94,235.781
8,211,-86,235.781
8,212,-83,235.781
8,74,-98,235.781
9,139,-88,235.312
9,57,-71,235.312
9,42,-94,235.312
9,211,-86,235.312
9,212,-83,235.312
9,74,-98,235.312
10,139,-88,235.312
10,57,-71,235.312
10,42,-94,235.312
10,211,-86,235.312
10,212,-83,235.312
10,74,-98,235.312
11,139,-88,235.781
11,57,-71,235.781
11,42,-94,235.781
11,211,-86,235.781
11,212,-83,235.781
11,74,-98,235.781
12,139,-88,235.781
12,57,-71,235.781
12,42,-94,235.781
12,211,-86,235.781
12,212,-83,235.781
12,74,-98,235.781
13,139,-88,235.312
13,57,-71,235.312
13,42,-94,235.312
13,211,-86,235.312
13,212,-83,235.312
13,74,-98,235.312
14,139,-88,235.312
14,57,-71,235.312
14,42,-94,235.312
14,211,-86,235.312
14,212,-83,235.312
14,74,-98,235.312
15,139,-88,236.25
15,57,-71,236.25
15,42,-94,236.25
15,211,-86,236.25
15,212,-83,236.25
15,74,-98,236.25
16,139,-88,235.312
16,57,-71,235.312
16,42,-94,235.312
16,211,-86,235.312
16,212,-83,235.312
16,74,-98,235.312
17,139,-88,235.312
17,57,-71,235.312
17,42,-94,235.312
17,211,-86,235.312
17,212,-83,235.312
17,74,-98,235.312
18,139,-88,238.594
18,57,-71,238.594
18,42,-94,238.594
18,211,-86,238.594
18,212,-83,238.594
18,74,-98,238.594
19,139,-88,238.594
19,57,-71,238.594
19,42,-94,238.594
19,211,-86,238.594
19,212,-83,238.594
19,74,-98,238.594
20,139,-88,238.594
20,57,-71,238.594
20,42,-94,238.594
20,211,-86,238.594
20,212,-83,238.594
20,74,-98,238.594
21,139,-88,238.125
21,57,-71,238.125
21,42,-94,238.125
21,211,-86,238.125
21,212,-83,238.125
21,74,-98,238.125
22,139,-88,238.594
22,57,-71,238.594
22,42,-94,238.594
22,211,-86,238.594
22,212,-83,238.594
22,74,-98,238.594
23,139,-88,239.062
23,57,-71,239.062
23,42,-94,239.062
23,211,-86,239.062
23,212,-83,239.062
23,74,-98,239.062
24,139,-88,238.594
24,57,-71,238.594
24,42,-94,238.594
24,211,-86,238.594
24,212,-83,238.594
24,74,-98,238.594
25,139,-88,238.125
25,57,-71,238.125
25,42,-94,238.125
25,211,-86,238.125
25,212,-83,238.125
25,74,-97,238.125
26,139,-88,238.125
26,57,-71,238.125
26,42,-94,238.125
26,211,-86,238.125
26,212,-82,238.125
26,74,-97,238.125
27,139,-88,239.062
27,57,-71,239.062
27,42,-94,239.062
27,211,-86,239.062
27,212,-82,239.062
27,74,-97,239.062
28,139,-88,238.594
28,57,-71,238.594
28,42,-94,238.594
28,211,-86,238.594
28,212,-82,238.594
28,74,-97,238.594
29,139,-88,238.125
29,57,-71,238.125
29,42,-94,238.125
29,211,-86,238.125
29,212,-82,238.125
29,74,-97,238.125
30,139,-88,238.125
30,57,-71,238.125
30,42,-94,238.125
30,211,-86,238.125
30,212,-82,238.125
30,74,-97,238.125
31,139,-88,238.594
31,57,-71,238.594
31,42,-94,238.594
31,211,-86,238.594
31,212,-82,238.594
31,74,-97,238.594
32,139,-88,238.594
32,57,-71,238.594
32,42,-94,238.594
32,211,-86,238.594
32,212,-82,238.594
32,74,-97,238.594
33,139,-88,238.125
33,57,-71,238.125
33,42,-94,238.125
33,211,-86,238.125
33,212,-82,238.125
33,74,-97,238.125
34,139,-88,238.125
34,57,-71,238.125
34,42,-94,238.125
34,211,-86,238.125
34,212,-82,238.125
34,74,-97,238.125
35,139,-88,238.594
35,57,-71,238.594
35,42,-94,238.594
35,211,-86,238.594
35,212,-82,238.594
35,74,-97,238.594
36,139,-88,238.594
36,57,-71,238.594
36,42,-94,238.594
36,211,-87,238.594
36,212,-82,238.594
36,74,-97,238.594
37,139,-88,238.125
37,57,-71,238.125
37,42,-94,238.125
37,211,-87,238.125
37,212,-82,238.125
37,74,-97,238.125
38,139,-88,238.125
