timestamp,neighbor_id,rssi,energy_consumption
1,138,-72,244.219
1,212,-63,244.219
1,42,-81,244.219
1,57,-90,244.219
2,138,-72,244.219
2,212,-63,244.219
2,42,-81,244.219
2,57,-90,244.219
3,138,-72,243.75
3,212,-63,243.75
3,42,-81,243.75
3,57,-90,243.75
4,138,-72,243.75
4,212,-63,243.75
4,42,-81,243.75
4,57,-90,243.75
5,138,-72,244.688
5,212,-63,244.688
5,42,-81,244.688
5,57,-90,244.688
6,138,-72,244.219
6,212,-63,244.219
6,42,-81,244.219
6,57,-90,244.219
7,138,-72,243.75
7,212,-63,243.75
7,42,-81,243.75
7,57,-90,243.75
8,138,-72,243.75
8,212,-63,243.75
8,42,-81,243.75
8,57,-90,243.75
9,138,-72,244.219
9,212,-63,244.219
9,42,-81,244.219
9,57,-90,244.219
10,138,-72,243.75
10,212,-63,243.75
10,42,-81,243.75
10,57,-90,243.75
11,138,-72,243.75
11,212,-63,243.75
11,42,-81,243.75
11,57,-90,243.75
12,138,-72,243.75
12,212,-63,243.75
12,42,-81,243.75
12,57,-90,243.75
13,138,-72,244.688
13,212,-63,244.688
13,42,-81,244.688
13,57,-90,244.688
14,138,-72,244.688
14,212,-63,244.688
14,42,-81,244.688
14,57,-90,244.688
15,138,-72,243.75
15,212,-63,243.75
15,42,-81,243.75
15,57,-90,243.75
16,138,-72,243.75
16,212,-63,243.75
16,42,-81,243.75
16,57,-90,243.75
17,138,-72,243.75
17,212,-63,243.75
17,42,-81,243.75
17,57,-90,243.75
18,138,-72,244.688
18,212,-63,244.688
18,42,-81,244.688
18,57,-90,244.688
19,138,-72,244.219
19,212,-63,244.219
19,42,-81,244.219
19,57,-90,244.219
20,138,-72,243.75
20,212,-63,243.75
20,42,-81,243.75
20,57,-90,243.75
21,138,-72,243.75
21,212,-63,243.75
21,42,-81,243.75
21,57,-90,243.75
22,138,-72,244.219
22,212,-63,244.219
22,42,-81,244.219
22,57,-90,244.219
23,138,-72,244.688
23,212,-63,244.688
23,42,-81,244.688
23,57,-90,244.688
24,138,-72,243.75
24,212,-63,243.75
24,42,-81,243.75
24,57,-90,243.75
25,138,-72,244.219
25,212,-63,244.219
25,42,-81,244.219
25,57,-90,244.219
26,138,-72,244.219
26,212,-63,244.219
26,42,-81,244.219
26,57,-90,244.219
27,138,-72,244.688
27,212,-63,244.688
27,42,-81,244.688
27,57,-90,244.688
28,138,-72,243.75
28,212,-63,243.75
28,42,-81,243.75
28,57,-90,243.75
29,138,-72,243.75
29,212,-63,243.75
29,42,-81,243.75
29,57,-90,243.75
30,138,-72,244.688
30,212,-63,244.688
30,42,-81,244.688
30,57,-90,244.688
31,138,-72,244.688
31,212,-63,244.688
31,42,-81,244.688
31,57,-90,244.688
32,138,-72,244.219
32,212,-63,244.219
32,42,-81,244.219
32,57,-90,244.219
33,138,-72,243.75
33,212,-63,243.75
33,42,-81,243.75
33,57,-90,243.75
34,138,-72,243.75
34,212,-63,243.75
34,42,-81,243.75
