timestamp,neighbor_id,rssi,energy_consumption
1,103,-66,243.75
1,74,-74,243.75
1,211,-81,243.75
1,139,-66,243.75
1,212,-78,243.75
1,42,-78,243.75
1,69,-90,243.75
1,138,-94,243.75
2,103,-66,244.219
2,74,-74,244.219
2,211,-81,244.219
2,139,-66,244.219
2,212,-78,244.219
2,42,-78,244.219
2,69,-90,244.219
2,138,-94,244.219
3,103,-66,243.75
3,74,-74,243.75
3,211,-81,243.75
3,139,-66,243.75
3,212,-78,243.75
3,42,-78,243.75
3,69,-90,243.75
3,138,-94,243.75
4,103,-66,244.219
4,74,-74,244.219
4,211,-81,244.219
4,139,-66,244.219
4,212,-78,244.219
4,42,-78,244.219
4,69,-90,244.219
4,138,-94,244.219
5,103,-66,244.219
5,74,-74,244.219
5,211,-81,244.219
5,139,-66,244.219
5,212,-78,244.219
5,42,-78,244.219
5,69,-90,244.219
5,138,-94,244.219
6,103,-66,244.688
6,74,-74,244.688
6,211,-81,244.688
6,139,-66,244.688
6,212,-78,244.688
6,42,-78,244.688
6,69,-90,244.688
6,138,-94,244.688
7,103,-66,243.75
7,74,-74,243.75
7,211,-81,243.75
7,139,-66,243.75
7,212,-78,243.75
7,42,-78,243.75
7,69,-90,243.75
7,138,-94,243.75
8,103,-66,244.219
8,74,-74,244.219
8,211,-81,244.219
8,139,-66,244.219
8,212,-78,244.219
8,42,-78,244.219
8,69,-90,244.219
8,138,-94,244.219
9,103,-66,243.75
9,74,-74,243.75
9,211,-81,243.75
9,139,-66,243.75
9,212,-78,243.75
9,42,-78,243.75
9,69,-90,243.75
9,138,-94,243.75
10,103,-66,244.688
10,74,-74,244.688
10,211,-81,244.688
10,139,-66,244.688
10,212,-78,244.688
10,42,-78,244.688
10,69,-90,244.688
10,138,-94,244.688
11,103,-66,243.75
11,74,-74,243.75
11,211,-81,243.75
11,139,-66,243.75
11,212,-78,243.75
11,42,-78,243.75
11,69,-90,243.75
11,138,-94,243.75
12,103,-66,244.219
12,74,-74,244.219
12,211,-81,244.219
