timestamp,neighbor_id,rssi,energy_consumption
1,42,-78,246.562
1,211,-80,246.562
1,74,-63,246.562
1,138,-79,246.562
1,212,-91,246.562
1,103,-89,246.562
1,57,-71,246.562
2,42,-78,247.031
2,211,-80,247.031
2,74,-63,247.031
2,138,-79,247.031
2,212,-91,247.031
2,103,-89,247.031
2,57,-71,247.031
3,42,-78,247.5
3,211,-80,247.5
3,74,-63,247.5
3,138,-79,247.5
3,212,-91,247.5
3,103,-89,247.5
3,57,-71,247.5
4,42,-78,247.5
4,211,-80,247.5
4,74,-63,247.5
4,138,-79,247.5
4,212,-91,247.5
4,103,-89,247.5
4,57,-71,247.5
5,42,-78,247.5
5,211,-80,247.5
5,74,-63,247.5
5,138,-79,247.5
5,212,-91,247.5
5,103,-89,247.5
5,57,-71,247.5
6,42,-78,247.031
6,211,-80,247.031
6,74,-63,247.031
6,138,-79,247.031
6,212,-91,247.031
6,103,-89,247.031
6,57,-71,247.031
7,42,-78,247.031
7,211,-80,247.031
7,74,-63,247.031
7,138,-79,247.031
7,212,-91,247.031
7,103,-89,247.031
7,57,-71,247.031
8,42,-78,247.5
8,211,-80,247.5
8,74,-63,247.5
8,138,-79,247.5
8,212,-91,247.5
8,103,-89,247.5
8,57,-71,247.5
9,42,-78,247.5
9,211,-80,247.5
9,74,-63,247.5
9,138,-79,247.5
9,212,-91,247.5
9,103,-89,247.5
9,57,-71,247.5
10,42,-78,247.5
10,211,-80,247.5
10,74,-63,247.5
10,138,-79,247.5
10,212,-91,247.5
10,103,-89,247.5
10,57,-71,247.5
11,42,-78,247.031
11,211,-80,247.031
11,74,-63,247.031
11,138,-79,247.031
11,212,-91,247.031
11,103,-89,247.031
11,57,-70,247.031
12,42,-78,247.5
12,211,-80,247.5
12,74,-63,247.5
12,138,-79,247.5
12,212,-91,247.5
12,103,-89,247.5
12,57,-70,247.5
13,42,-78,247.5
13,211,-80,247.5
13,74,-63,247.5
13,138,-79,247.5
13,212,-91,247.5
13,103,-89,247.5
13,57,-70,247.5
14,42,-78,247.5
14,211,-80,247.5
14,74,-63,247.5
14,138,-79,247.5
14,212,-91,247.5
14,103,-89,247.5
14,57,-70,247.5
15,42,-78,247.5
15,211,-80,247.5
15,74,-63,247.5
15,138,-79,247.5
15,212,-91,247.5
